[COMMENT],!-- GENERAL parameters
p_name, 'chaetomorpha', 'cladophora', 'cgm',[COMMENT],string, Name of macroalgae group
p_initial, 10, 10, 10,[COMMENT],real, Initial concentration of macroalgae (mmol C/m3)
p0, 0.2, 0.2, 0.2,[COMMENT],real, Minimum concentration of macroalgae (mmol C/m3)
w_p, 0, -0.07344, -0.07344,[COMMENT],real, sedimentation rate (m/d)
Xcc, 300, 50, 0.25,[COMMENT],real, carbon to chlorophyll ratio (mg C/mg chla)
[COMMENT],!-- GROWTH parameters
R_growth, 0.6, 0.8, 0.6,[COMMENT],real, Phyto max growth rate @20C (/day)
fT_Method, 1, 1, 1,[COMMENT],integer, Specifies temperature limitation function of growth (-); 0 = no temperature limitation 1= CAEDYM style
theta_growth, 1.06, 1.09, 1.07,[COMMENT],real, Arrenhius temperature scaling for growth function (-)
T_std, 18, 23, 12,[COMMENT],real, Standard temperature (deg C)
T_opt, 22, 30, 22,[COMMENT],real, Optimum temperature (deg C)
T_max, 28, 39, 35,[COMMENT],real, Maximum temperature (deg C)
[COMMENT],!-- LIGHT parameters
lightModel, 3, 2, 2,[COMMENT],integer, Type of light response function [0 = no photoinhibition; 1 = photoinhibition]
I_K, 140, 130, 100,[COMMENT],real, Half saturation constant for light limitation of growth (microE/m^2/s) used if lightModel=0
I_S, 390, 1300, 200,[COMMENT],real, saturating light intensity  (microE/m^2/s) used if lightModel=1
KePHY, 4.6667E-5, 0.0004, 0.0004,[COMMENT],real, Specific attenuation coefficient  ((mmol C m^3^-1)^1 m^-1)
[COMMENT],!-- RESPIRATION parameters
f_pr, 0.025, 0.025, 0.025,[COMMENT],real, Fraction of primary production lost to exudation (-)
R_resp, 0.07, 0.17, 0.151,[COMMENT],real, Phytoplankton respiration/metabolic loss rate @ 20 (degC)
theta_resp, 1.04, 1.06, 1.06,[COMMENT],real, Arrhenius temperature scaling factor for respiration (-)
k_fres, 0.6, 0.5, 0.25,[COMMENT],real, Fraction of metabolic loss that is true respiration (-)
k_fdom, 0.1, 0.7, 0.3,[COMMENT],real, Fraction of metabolic loss that is DOM (-)
[COMMENT],!-- SALINITY parameters
salTol, 0, 0, 0,[COMMENT],integer, Type of salinity limitation function (-)
S_bep, 1, 3, 2,[COMMENT],real, Salinity limitation value at maximum salinity S_maxsp (-)
S_maxsp, 36, 36, 36,[COMMENT],real, Maximum salinity (g/kg)
S_opt, 18, 3, 28,[COMMENT],real, Optimal salinity (g/kg)
[COMMENT],!-- NITROGEN parameters
simDINUptake, 1, 1, 1,[COMMENT],integer, Simulate DIN uptake (0 = false, 1 = true)
simDONUptake, 0, 0, 0,[COMMENT],integer, Simulate DON uptake (0 = false, 1 = true)
simNFixation, 0, 0, 0,[COMMENT],integer, Simulate N fixation (0 = false, 1 = true)
simINDynamics, 0, 0, 0,[COMMENT],integer, Simulate internal N  (0 = assumed fixed C:N, 2 = dynamic C:N)
N_o, 0, 0, 0,[COMMENT],real, Nitrogen concentraion below which uptake is 0 (mmol N/m^3)
K_N, 1.4143, 3.2143, 10,[COMMENT],real, Half-saturation concentration of nitrogen (mmol N/m^3)
X_ncon, 0.0085714, 0.068571, 0.06857,[COMMENT],real, Constant internal nitrogen concentration (mmol N/ mmol C) used if simINDynamics = 0 or 1
X_nmin, 0.10286, 0.034286, 0.03429,[COMMENT],real, minimum internal nitrogen concentration (mmol N/ mmol C) used if simINDynamics = 2
X_nmax, 0.12857, 0.068571, 0.15,[COMMENT],real, maximum internal nitrogen concentration (mmol N/ mmol C) used if simINDynamics = 2
R_nuptake, 0, 0, 0,[COMMENT],real, maximum nitrogen uptake rate(mmol N/m^3/d) used if simINDynamics = 2
k_nfix, 2, 2, 2,[COMMENT],real, growth rate reduction under maximum nitrogen fixation (/day) used if simNFixation >0
R_nfix, 0.0028571, 0.017143, 0,[COMMENT],real, nitrogen fixation rate (mmol N/mmol C/day)
[COMMENT],!-- PHOSPHORUS parameters
simDIPUptake, 1, 1, 1,[COMMENT],integer, Simulate DIP uptake (0 = false, 1 = true)
simIPDynamics, 0, 0, 1,[COMMENT],integer, Simulate internal phosphorus dynamics (0 = assumed fixed C:P, 2 = dynamic C:P)
P_0, 0.0645, 0.0645, 0.1,[COMMENT],real, Phosphorus concentraion below which uptake is 0 (mmol P/m^3)
K_P, 0.12355, 0.29032, 4.03,[COMMENT],real, Half-saturation concentration of phosphorus (mmol P/m^3)
X_pcon, 0.0003871, 0.0030968, 0.001,[COMMENT],real, Constant internal phosphorus concentration (mmol P/ mmol C) used if simIPDynamics = 0 or 1
X_pmin, 0.0019355, 0.00077419, 0.00077419,[COMMENT],real, Minimum internal phosphorus concentration (mmol P/mmol C) used if simIPDynamics = 2
X_pmax, 0.027097, 0.0077419, 0.00645,[COMMENT],real, Maximum internal phosphorus concentration (mmol P/mmol C) used if simIPDynamics = 2
R_puptake, 0, 0, 2,[COMMENT],real, Maximum phosphorus uptake rate(mmol P/m^3/d) used if simIPDynamics = 2
[COMMENT],!-- SILICA parameter
simSiUptake, 0, 0, 0,[COMMENT],integer, Simulate Si uptake (0 = false, 1 = true)
Si_0, 0, 0, 0,[COMMENT],real, Silica concentraion below which uptake is 0 (mmol Si/m^3)
K_Si, 0, 0, 0,[COMMENT],real, Half-saturation concentration of silica (mmol Si /m3)
X_sicon, 0, 0, 0,[COMMENT],real, Constant interal silica concentration (mmol Si/mmol C)
