Posidonia sinuosa,,,,,,,,,,,,,
! %SI,,! sal,,! temp,,! flow velocity m/s,,! low tide exposure (average fraction of time water depth >0.1m),,! substrate %sand,,! wave exposure (bottom orbital velocity m/s),
light,13,salt,8,temp,9,vel,5,wettime,3,NCS_fs1,4,wave_exposure,5
0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.9,0,10,0.5,12.9,0,0.05,1,0.99,0,0.1,0,0.4,1
4,0.1,20,1,13,0.5,1.5,1,1,1,0.9,1,0.41,0
7.8,0.2,40,1,18,1,1.6,0,,,1,1,0.5,0
8.5,0.3,55,0.66,20.5,1,30,0,,,,,2,0
10,0.4,57,0.33,23,1,,,,,,,,
11,0.5,57.1,0,24,0.25,,,,,,,,
12,0.6,100,0,24.1,0,,,,,,,,
12.2,0.7,,,50,0,,,,,,,,
15,0.8,,,,,,,,,,,,
17,0.9,,,,,,,,,,,,
20,1,,,,,,,,,,,,
100,1,,,,,,,,,,,,
,,,,,,,,,,,,,
Posidonia australis,,,,,,,,,,,,,
! %SI,,! sal,,! temp,,! flow velocity m/s,,! low tide exposure (average fraction of time water depth >0.1m),,! substrate %sand,,! wave exposure (bottom orbital velocity m/s),
light,6,salt,8,temp,9,vel,5,wettime,3,NCS_fs1,4,wave_exposure,5
0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,10,0.5,12.9,0,0.05,1,0.99,0,0.1,0,0.4,1
10,1,20,1,13,0.5,1.5,1,1,1,0.9,1,0.41,0
50,1,40,1,18,0.8,1.6,0,,,1,1,0.5,0
90,1,55,0.66,19,1,30,0,,,,,2,0
100,1,57,0.33,23,1,,,,,,,,
,,57.1,0,26,0.25,,,,,,,,
,,100,0,30,0,,,,,,,,
,,,,50,0,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Posidonia coriacea,,,,,,,,,,,,,
! %SI,,! sal,,! temp,,! flow velocity m/s,,! low tide exposure (average fraction of time water depth >0.1m),,! substrate %sand,,! wave exposure (bottom orbital velocity m/s),
light,6,salt,7,temp,10,vel,5,wettime,3,NCS_fs1,4,wave_exposure,4
0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.9,0,10,0.5,12.9,0,0.05,1,0.99,0,0.1,0,0.5,1
5,0.33,20,1,13,0.5,1.5,1,1,1,0.9,1,0.51,0
8,0.67,35,1,14,0.8,1.6,0,,,1,1,2,0
12.1,1,50,1,18,1,30,0,,,,,,
100,1,51,0,19,1,,,,,,,,
,,100,0,23,1,,,,,,,,
,,,,26,0.25,,,,,,,,
,,,,30,0,,,,,,,,
,,,,50,0,,,,,,,,
,,,,,,,,,,,,,
Amphibolis griffithii,,,,,,,,,,,,,
! %SI,,! sal,,! temp,,! flow velocity m/s,,! low tide exposure (average fraction of time water depth >0.1m),,! substrate %sand,,! wave exposure (bottom orbital velocity m/s),
light,5,salt,10,temp,10,vel,5,wettime,3,NCS_fs1,4,wave_exposure,4
0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,10,0.5,10,0,0.05,1,0.99,0,0.1,0,0.5,1
12,0.3,20,1,13,0.25,1.5,1,1,1,0.9,1,0.51,0
20,1,42,1,15,0.5,1.6,0,,,1,1,2,0
100,1,42.5,1,18,0.75,30,0,,,,,,
,,57,0.75,20,1,,,,,,,,
,,62.4,0.5,22,1,,,,,,,,
,,64,0.25,23,1,,,,,,,,
,,65,0,30,0,,,,,,,,
,,100,0,50,0,,,,,,,,
,,,,,,,,,,,,,
Amphibolis antarctica,,,,,,,,,,,,,
! %SI,,! sal,,! temp,,! flow velocity m/s,,! low tide exposure (average fraction of time water depth >0.1m),,! substrate %sand,,! wave exposure (bottom orbital velocity m/s),
light,5,salt,10,temp,10,vel,5,wettime,3,NCS_fs1,2,wave_exposure,4
0,0,0,0,0,0,0,0,0,0,0,1,0,1
4.9,0,10,0.5,9.9,0,0.05,1,0.99,0,1,1,0.6,1
5,0.5,20,1,10,0.2,1.5,1,1,1,,,0.61,0
12.2,1,42,1,12,0.4,1.6,0,,,,,2,0
100,1,42.5,1,13,0.6,30,0,,,,,,
,,57,0.75,18,0.8,,,,,,,,
,,62.4,0.5,23,1,,,,,,,,
,,64,0.25,26,1,,,,,,,,
,,65,0,30,0,,,,,,,,
,,100,0,50,0,,,,,,,,
,,,,,,,,,,,,,
Heterozostera tasmanica,,,,,,,,,,,,,
! %SI,,! sal,,! temp,,! flow velocity m/s,,! low tide exposure (average fraction of time water depth >0.1m),,! substrate %sand,,! wave exposure (bottom orbital velocity m/s),
light,8,salt,7,temp,8,vel,5,wettime,4,NCS_fs1,4,wave_exposure,5
0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.9,0,10,0.5,4.9,0,0.05,1,0.84,0,0.1,0,0.3,1
2,0.14,20,1,5,0.25,1.5,1,0.92,1,0.9,1,0.31,0
2.9,0.22,33,1,10,0.5,1.6,0,1,1,1,1,0.5,0
4.4,0.36,38,1,22,0.75,30,0,,,,,2,0
5,0.57,40,0,30,1,,,,,,,,
9,0.73,100,0,40,0.5,,,,,,,,
